xMin 0.0 xMax 20.0 yMin 0.0 yMax 10.3923048454133 zMin 0.50 zMax 22.0
Particles 3480
id	x-position	y-position	z-position	radius
196	16	3.09807621135332	0.5	0.5
197	16.5	3.96410161513775	0.5	0.5
198	16	4.83012701892219	0.5	0.5
199	16.5	5.69615242270663	0.5	0.5
200	16	6.56217782649107	0.5	0.5
201	16.5	7.42820323027551	0.5	0.5
202	16	8.29422863405995	0.5	0.5
203	16.5	9.16025403784439	0.5	0.5
204	16	10.0262794416288	0.5	0.5
205	17.5	0.5	0.5	0.5
206	17	1.36602540378444	0.5	0.5
207	17.5	2.23205080756888	0.5	0.5
208	17	3.09807621135332	0.5	0.5
209	17.5	3.96410161513775	0.5	0.5
210	17	4.83012701892219	0.5	0.5
211	17.5	5.69615242270663	0.5	0.5
212	17	6.56217782649107	0.5	0.5
213	17.5	7.42820323027551	0.5	0.5
214	17	8.29422863405995	0.5	0.5
215	17.5	9.16025403784439	0.5	0.5
216	17	10.0262794416288	0.5	0.5
217	18.5	0.5	0.5	0.5
218	18	1.36602540378444	0.5	0.5
219	18.5	2.23205080756888	0.5	0.5
220	18	3.09807621135332	0.5	0.5
221	18.5	3.96410161513775	0.5	0.5
222	18	4.83012701892219	0.5	0.5
223	18.5	5.69615242270663	0.5	0.5
224	18	6.56217782649107	0.5	0.5
225	18.5	7.42820323027551	0.5	0.5
226	18	8.29422863405995	0.5	0.5
227	18.5	9.16025403784439	0.5	0.5
228	18	10.0262794416288	0.5	0.5
229	19.5	0.5	0.5	0.5
230	19	1.36602540378444	0.5	0.5
231	19.5	2.23205080756888	0.5	0.5
232	19	3.09807621135332	0.5	0.5
233	19.5	3.96410161513775	0.5	0.5
234	19	4.83012701892219	0.5	0.5
235	19.5	5.69615242270663	0.5	0.5
236	19	6.56217782649107	0.5	0.5
237	19.5	7.42820323027551	0.5	0.5
238	19	8.29422863405995	0.5	0.5
239	19.5	9.16025403784439	0.5	0.5
240	19	10.0262794416288	0.5	0.5
241	0.5	0.5	21.5	0.5
242	0	1.36602540378444	21.5	0.5
243	0.5	2.23205080756888	21.5	0.5
